shape of matrix,error,time(s)
100,1.4210854715202004E-013,2.7459999999999997E-003
150,2.8421709430404007E-013,5.7670000000000004E-003
200,2.5579538487363607E-013,6.7239999999999991E-003
250,3.4106051316484809E-013,1.1546999999999998E-002
300,6.8212102632969618E-013,1.9360999999999996E-002
350,6.2527760746888816E-013,3.0355999999999994E-002
400,9.0949470177292824E-013,5.0403000000000003E-002
450,9.6633812063373625E-013,8.4679000000000032E-002
500,1.1368683772161603E-012,0.11797800000000003     
550,1.9326762412674725E-012,0.15483599999999997     
600,2.8421709430404007E-012,0.19921199999999994     
650,1.9326762412674725E-012,0.25234800000000002     
700,2.6147972675971687E-012,0.26947800000000011     
750,2.6147972675971687E-012,0.36217299999999986     
800,2.3874235921539366E-012,0.40659399999999968     
850,2.6147972675971687E-012,0.56633099999999992     
900,3.0695446184836328E-012,0.64718500000000034     
950,2.8421709430404007E-012,0.78694199999999981     
1000,3.1832314562052488E-012,0.91175799999999985     
100,8.5265128291212022E-014,2.1970000000000002E-003
150,2.5579538487363607E-013,5.2150000000000000E-003
200,3.4106051316484809E-013,7.9189999999999990E-003
250,3.1263880373444408E-013,1.5505999999999999E-002
300,7.9580786405131221E-013,2.4820999999999996E-002
350,7.3896444519050419E-013,3.0366999999999991E-002
400,7.9580786405131221E-013,6.1821999999999988E-002
450,1.0800249583553523E-012,8.5051999999999961E-002
500,9.0949470177292824E-013,8.9035999999999949E-002
550,1.8189894035458565E-012,0.15577599999999991     
600,2.1600499167107046E-012,0.14958800000000005     
650,2.0463630789890885E-012,0.20567999999999986     
700,2.0463630789890885E-012,0.31748099999999990     
750,2.0463630789890885E-012,0.38703200000000004     
800,2.6147972675971687E-012,0.38434500000000016     
850,2.1600499167107046E-012,0.54625299999999966     
900,3.0695446184836328E-012,0.67202699999999993     
950,3.1832314562052488E-012,0.78984100000000002     
1000,2.7284841053187847E-012,0.92135000000000034     
100,8.5265128291212022E-014,2.1869999999999997E-003
150,3.1263880373444408E-013,6.8349999999999999E-003
200,2.8421709430404007E-013,5.9699999999999996E-003
250,3.1263880373444408E-013,1.1357999999999997E-002
300,7.3896444519050419E-013,1.9415999999999996E-002
350,7.9580786405131221E-013,3.0380999999999991E-002
400,9.0949470177292824E-013,5.3068000000000004E-002
450,9.0949470177292824E-013,6.3892000000000004E-002
500,9.6633812063373625E-013,8.7195999999999996E-002
550,2.3874235921539366E-012,0.11543199999999998     
600,2.1600499167107046E-012,0.14951500000000006     
650,2.3874235921539366E-012,0.25107299999999988     
700,2.7284841053187847E-012,0.31774600000000008     
750,2.7284841053187847E-012,0.38622100000000015     
800,2.7284841053187847E-012,0.45935000000000015     
850,2.3874235921539366E-012,0.56526199999999971     
900,2.7284841053187847E-012,0.64600499999999972     
950,2.8421709430404007E-012,0.78501999999999938     
1000,2.8421709430404007E-012,0.84696499999999997     
100,7.1054273576010019E-014,2.3280000000000002E-003
150,2.8421709430404007E-013,6.5709999999999996E-003
200,2.5579538487363607E-013,8.1010000000000006E-003
250,3.1263880373444408E-013,1.1335000000000001E-002
300,5.6843418860808015E-013,2.6193999999999995E-002
350,9.0949470177292824E-013,3.8035999999999986E-002
400,8.5265128291212022E-013,6.0284000000000004E-002
450,7.3896444519050419E-013,8.6716999999999989E-002
500,1.1368683772161603E-012,0.11924100000000004     
550,2.1600499167107046E-012,0.11537200000000003     
600,2.0463630789890885E-012,0.19939600000000013     
650,2.2737367544323206E-012,0.25311000000000017     
700,2.1600499167107046E-012,0.27632300000000010     
750,3.1832314562052488E-012,0.38723999999999981     
800,2.9558577807620168E-012,0.47125100000000009     
850,2.8421709430404007E-012,0.55894300000000019     
900,2.8421709430404007E-012,0.66571699999999989     
950,3.6379788070917130E-012,0.73324600000000029     
1000,3.0695446184836328E-012,0.91394899999999968     
100,8.5265128291212022E-014,2.2269999999999998E-003
150,1.9895196601282805E-013,4.4910000000000002E-003
200,2.8421709430404007E-013,6.3939999999999986E-003
250,3.6948222259525210E-013,1.2944999999999998E-002
300,7.9580786405131221E-013,1.9611999999999997E-002
350,9.0949470177292824E-013,3.4772999999999998E-002
400,7.9580786405131221E-013,4.8865999999999993E-002
450,9.0949470177292824E-013,7.0223999999999981E-002
500,1.0800249583553523E-012,0.12022599999999994     
550,1.9326762412674725E-012,0.16109000000000007     
600,2.0463630789890885E-012,0.20545699999999989     
650,2.6147972675971687E-012,0.20801599999999998     
700,2.6147972675971687E-012,0.31709600000000004     
750,2.3874235921539366E-012,0.39532999999999952     
800,3.1832314562052488E-012,0.41896900000000015     
850,3.1832314562052488E-012,0.56133799999999967     
900,2.7284841053187847E-012,0.68397599999999947     
950,2.7284841053187847E-012,0.68386399999999981     
1000,2.9558577807620168E-012,0.90280700000000014     
