shape of matrix,error,time(s)
100,9.9475983006414026E-014,9.6500000000000015E-004
150,1.4210854715202004E-013,2.9549999999999993E-003
200,2.8421709430404007E-013,2.1030000000000007E-003
250,4.2632564145606011E-013,4.1250000000000002E-003
300,6.2527760746888816E-013,9.8779999999999979E-003
350,7.9580786405131221E-013,1.0520999999999996E-002
400,9.6633812063373625E-013,1.6134000000000009E-002
450,8.5265128291212022E-013,2.2071000000000007E-002
500,9.6633812063373625E-013,2.9566000000000009E-002
550,1.9326762412674725E-012,3.9897999999999989E-002
600,2.0463630789890885E-012,5.0755999999999968E-002
650,2.1600499167107046E-012,6.5478999999999954E-002
700,2.3874235921539366E-012,8.1394999999999995E-002
750,2.8421709430404007E-012,0.12912699999999999
800,2.5011104298755527E-012,0.13498000000000010
850,2.9558577807620168E-012,0.14881399999999978
900,2.5011104298755527E-012,0.17689699999999986
950,2.5011104298755527E-012,0.21406299999999989
1000,3.4106051316484809E-012,0.24400200000000005
100,8.5265128291212022E-014,9.9300000000000018E-004
150,2.2737367544323206E-013,2.5070000000000005E-003
200,2.8421709430404007E-013,2.1080000000000005E-003
250,2.8421709430404007E-013,5.6250000000000015E-003
300,6.2527760746888816E-013,9.3970000000000026E-003
350,7.9580786405131221E-013,1.1440999999999993E-002
400,7.9580786405131221E-013,2.1121000000000001E-002
450,1.0231815394945443E-012,2.2024999999999989E-002
500,9.6633812063373625E-013,2.8518999999999989E-002
550,1.8189894035458565E-012,3.8893999999999984E-002
600,2.3874235921539366E-012,6.0993000000000019E-002
650,2.1600499167107046E-012,6.3124999999999987E-002
700,2.6147972675971687E-012,8.1250000000000044E-002
750,2.2737367544323206E-012,0.10010499999999989
800,2.8421709430404007E-012,0.13508800000000010
850,2.5011104298755527E-012,0.14408799999999999
900,3.1832314562052488E-012,0.17662099999999992
950,2.5011104298755527E-012,0.21392599999999984
1000,3.7516656448133290E-012,0.24238699999999991
100,8.5265128291212022E-014,9.9699999999999984E-004
150,2.2737367544323206E-013,3.4910000000000002E-003
200,3.6948222259525210E-013,2.1469999999999996E-003
250,2.8421709430404007E-013,4.0849999999999984E-003
300,6.8212102632969618E-013,6.7660000000000012E-003
350,7.3896444519050419E-013,1.0118999999999996E-002
400,9.6633812063373625E-013,1.6141000000000003E-002
450,1.0800249583553523E-012,2.1021000000000012E-002
500,1.1368683772161603E-012,2.9598000000000013E-002
550,1.8189894035458565E-012,4.2034999999999989E-002
600,2.1600499167107046E-012,5.0499999999999989E-002
650,2.2737367544323206E-012,6.5185999999999966E-002
700,2.5011104298755527E-012,8.1533999999999995E-002
750,2.3874235921539366E-012,0.10569500000000009
800,2.5011104298755527E-012,0.13900299999999999
850,2.8421709430404007E-012,0.15371399999999991
900,3.0695446184836328E-012,0.18247400000000003
950,3.1832314562052488E-012,0.22236400000000023
1000,3.6379788070917130E-012,0.24314200000000019
100,9.9475983006414026E-014,9.2400000000000013E-004
150,2.2737367544323206E-013,2.5240000000000002E-003
200,2.5579538487363607E-013,4.3500000000000014E-003
250,3.1263880373444408E-013,3.8809999999999990E-003
300,9.6633812063373625E-013,6.5479999999999983E-003
350,9.6633812063373625E-013,9.9469999999999975E-003
400,8.5265128291212022E-013,1.5424999999999994E-002
450,8.5265128291212022E-013,2.1020000000000011E-002
500,1.0800249583553523E-012,2.8340999999999977E-002
550,2.1600499167107046E-012,3.9569999999999994E-002
600,2.1600499167107046E-012,4.8388999999999960E-002
650,2.0463630789890885E-012,6.5128999999999992E-002
700,2.6147972675971687E-012,8.1299000000000010E-002
750,2.5011104298755527E-012,9.7328999999999999E-002
800,2.2737367544323206E-012,0.13420600000000005
850,2.9558577807620168E-012,0.14223399999999975
900,3.1832314562052488E-012,0.17531700000000017
950,3.4106051316484809E-012,0.20821600000000018
1000,2.7284841053187847E-012,0.24805499999999991
100,1.1368683772161603E-013,1.2500000000000000E-003
150,2.5579538487363607E-013,9.8099999999999923E-004
200,3.1263880373444408E-013,2.9559999999999986E-003
250,3.4106051316484809E-013,4.4070000000000012E-003
300,7.3896444519050419E-013,9.1979999999999978E-003
350,7.3896444519050419E-013,1.0055999999999995E-002
400,8.5265128291212022E-013,1.6655000000000003E-002
450,9.0949470177292824E-013,2.0994000000000013E-002
500,9.6633812063373625E-013,2.9684000000000044E-002
550,1.9326762412674725E-012,3.8286999999999960E-002
600,2.2737367544323206E-012,4.8528000000000016E-002
650,2.1600499167107046E-012,6.5134000000000025E-002
700,2.5011104298755527E-012,8.4178999999999782E-002
750,2.7284841053187847E-012,0.10057600000000000
800,2.6147972675971687E-012,0.13599199999999989
850,2.8421709430404007E-012,0.14802500000000007
900,2.3874235921539366E-012,0.16954400000000014
950,3.0695446184836328E-012,0.20912499999999978
1000,2.9558577807620168E-012,0.24151599999999984
